.,Sources,Query,Search engine,Type,Category,Smells induced,nb_smells_induced
S56,https://link.springer.com/book/10.1007/978-1-4842-0647-8,MongoDB best practices,Google Belgium,Book,Book,"Querying too much data, Storage of easily calculated values, Data oriented instead of application oriented, Bloated documents, Abusive use of indexes, Human-readable values, Too long attribute names, Running MongoDB in a shared environment, Using GridFS for small binary data, Running MongoDB on 32-bit systems, Avoid $Where",11
S58,https://rockset.com/webinars/scaling-mongodb-talk/,MongoDB best practices,Google Belgium,Presentation video,Presentation,Abusive use of indexes,1
S59,https://satoricyber.com/mongodb-security/11-mongodb-security-features-and-best-practices/,MongoDB best practices,Google Belgium,Blog post/Online article,Blog post/Online article,"No security patches, Using unofficial packages, Improper user credential storage, Unencrypted data",4
S60,https://severalnines.com/blog/best-practices-mongodb-security/,MongoDB best practices,Google Belgium,Blog post/Online article,Blog post/Online article,"Not using LDAP for passwords rotations, Using default Mongod ports, Improper user credential storage, Unencrypted communication, Server without authentication, Too much network exposure",6
S62,https://subscription.packtpub.com/book/big-data-and-business-intelligence/9781783982608/1/ch01lvl1sec05/mongodb-configuration-and-best-practices,MongoDB best practices,Google Belgium,Blog post/Online article,Blog post/Online article,"Manual backups, Bloated documents, Abusive use of indexes, Negation in queries, Leading wildcard searches on indexed columns, No database access control",6
S63,https://www.adservio.fr/post/mongodb-best-practices,MongoDB best practices,Google Belgium,Blog post/Online article,Blog post/Online article,"Separating data accessed together, Working set exceeds memory",2
S65,https://www.compose.com/articles/mongodb-indexing-best-practices/,MongoDB best practices,Google Belgium,Blog post/Online article,Blog post/Online article,Abusive use of indexes,1
S66,https://www.datavail.com/blog/mongodb-best-practices/,MongoDB best practices,Google Belgium,Blog post/Online article,Blog post/Online article,"Bloated documents, Too long attribute names",2
S69,https://www.infoq.com/articles/Starting-With-MongoDB/,MongoDB best practices,Google Belgium,Blog post/Online article,Blog post/Online article,"Lookup without supporting indexes, Inconsistent attribute structure, Data oriented instead of application oriented, Bloated documents, Unbound arrays, Non-ESR compound indexes (Equality, Sort, Range), Using fast writes, Confusing null and undefined, Single update/insert for batches, Using $limit without $sort, Uncovered queries, Forgetting to tie down MongoDB's attack surface, Server without authentication",13
S70,https://www.joekarlsson.com/2020/04/mongodb-schema-design-best-practices/,MongoDB best practices,Google Belgium,Blog post/Online article,Blog post/Online article,"Data oriented instead of application oriented, Unbound arrays, Separating data accessed together",3
S72,https://www.loginworks.com/blogs/engage-best-practices-mongodb/,MongoDB best practices,Google Belgium,Blog post/Online article,Blog post/Online article,"Running MongoDB on 32-bit systems, Working set exceeds memory",2
S73,https://www.mongodb.com/blog/post/performance-best-practices-mongodb-data-modeling-and-memory-sizing,MongoDB best practices,Google Belgium,Blog post/Online article,Blog post/Online article,Working set exceeds memory,1
S74,https://www.mongodb.com/developer/products/mongodb/mongodb-schema-design-best-practices/,MongoDB best practices,Google Belgium,Blog post/Online article,Blog post/Online article,Unbound arrays,1
S76,https://www.percona.com/blog/2020/04/17/mongodb-best-practices-2020-edition/,MongoDB best practices,Google Belgium,Blog post/Online article,Blog post/Online article,Unlimited mongos taskExecutor in a container,1
S80,https://www.sciencedirect.com/science/article/pii/S2210537918301112,MongoDB best practices,Google Belgium,Published paper,Research,"Map-reduce for projection, Uncovered queries",2
S83,https://s3-ap-southeast-1.amazonaws.com/tv-prod/documents%2Fnull-10gen-MongoDB_Operations_Best_Practices.pdf,MongoDB best practices,Google Brazil,White paper,Blog post/Online article,"Bloated documents, Index intersection rather than compound index, Prefix index of compound indexes, Abusive use of indexes, Negation in queries, Leading wildcard searches on indexed columns, Working set exceeds memory",7
S84,https://support.engineyard.com/hc/en-us/articles/7598869697810-Best-Practices-for-Using-a-Custom-MongoDB-Environment-with-Engine-Yard-Cloud,MongoDB best practices,Google Brazil,Blog post/Online article,Blog post/Online article,Running MongoDB on 32-bit systems,1
S87,https://www.digitalocean.com/community/tutorials/how-to-design-a-document-schema-in-mongodb,MongoDB best practices,Google Belgium,Blog post/Online article,Blog post/Online article,Separating data accessed together,1
